"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.233937542E0,3.176244965E0,-6.730753326E0,-2.697540436E0,7.916331020E0
2.243918542E0,4.042343903E0,-3.738775177E0,-1.478774872E0,5.701382216E0
2.253899542E0,7.674091644E0,6.732998657E-1,-1.268162842E0,7.807256385E0
2.263880542E0,1.416444489E1,3.806434479E0,-1.618284760E0,1.475599159E1
2.273861542E0,1.831276840E1,5.383554840E0,-1.165775757E0,1.912326286E1
2.283843542E0,2.644371002E1,5.715863800E0,-1.782193909E0,2.711304324E1
2.293824417E0,2.908496750E1,6.900949402E0,-5.761668549E0,3.044265530E1
2.303805417E0,2.348271744E1,1.017763550E1,-1.101379669E1,2.786262730E1
2.313786417E0,2.477243546E1,8.042176208E0,-1.197629517E1,2.866673686E1
2.323767417E0,2.237711655E1,4.736749878E0,-8.712332611E0,2.447604715E1
2.333748417E0,1.915252213E1,3.139870605E0,-4.828509064E0,1.999980977E1
2.343729417E0,1.720222778E1,2.647993469E0,-2.703527985E0,1.761356221E1
2.353710417E0,1.530507294E1,1.417851562E0,-1.341510315E0,1.542903790E1
2.363691417E0,1.510778320E1,9.786648560E-1,-1.512454834E0,1.521480916E1
2.373673417E0,1.485750366E1,8.414002991E-1,-1.512155457E0,1.495794049E1
2.383654417E0,1.281724640E1,-6.397695923E-1,7.213499451E-1,1.285346086E1
2.393635417E0,1.144340332E1,-2.129471741E0,3.185974731E0,1.206799753E1
2.403616417E0,1.252340744E1,-2.019600220E0,4.069886627E0,1.332210554E1
2.413597417E0,1.261352005E1,-1.200204163E0,4.364773407E0,1.340121729E1
2.423578417E0,1.213795898E1,-7.150630188E-1,4.483775940E0,1.295938309E1
2.433559417E0,1.225082428E1,-8.285270691E-1,4.640949097E0,1.312659747E1
2.443540417E0,1.301079391E1,-8.999285889E-1,4.599934387E0,1.382931763E1
2.453521417E0,1.395263535E1,-9.758207703E-1,4.931045837E0,1.483049130E1
2.463503417E0,1.445633789E1,-2.278112640E0,6.243815918E0,1.591102573E1
2.473484417E0,1.408151733E1,-3.902085571E0,6.788533173E0,1.611209437E1
2.483465417E0,1.358410172E1,-4.669240265E0,6.480473785E0,1.575836808E1
2.493446417E0,1.230336502E1,-4.847968597E0,5.715265045E0,1.440624326E1
2.503427417E0,1.102053268E1,-4.635410614E0,4.671635284E0,1.283601762E1
2.513408417E0,1.004815475E1,-4.232897644E0,3.414998474E0,1.142563132E1
2.523389417E0,9.485774231E0,-3.535797272E0,2.608775024E0,1.045406534E1
2.533370417E0,8.898395691E0,-2.988984375E0,1.917512512E0,9.580831264E0
2.543351417E0,8.019573212E0,-2.765349426E0,9.683363342E-1,8.538055235E0
2.553333417E0,6.936575317E0,-2.330204315E0,1.838177490E-1,7.319816818E0
2.563314417E0,6.057603149E0,-2.226619720E0,-2.809657288E-1,6.459979337E0
2.573295417E0,5.587580566E0,-1.977837067E0,-5.378315735E-1,5.951651775E0
2.583276417E0,5.596861267E0,-2.058369598E0,-7.223977661E-1,6.006962625E0
2.593257417E0,5.198090515E0,-1.967209167E0,-8.578660583E-1,5.623699057E0
2.603238417E0,4.905149689E0,-1.670675812E0,-8.825646973E-1,5.256479010E0
2.613219417E0,4.919968872E0,-1.198707275E0,-8.616082764E-1,5.136668342E0
2.623200417E0,5.241350555E0,-6.304888916E-1,-1.077908478E0,5.388057031E0
2.633181417E0,5.231022034E0,-3.486250305E-1,-1.337917786E0,5.410651988E0
2.643163417E0,5.179678802E0,-1.035845947E-1,-1.294657745E0,5.340031923E0
2.653144417E0,5.330115967E0,2.047741699E-1,-1.189725952E0,5.465118162E0
2.663125417E0,5.435945892E0,4.370910645E-1,-1.075513458E0,5.558532679E0
2.673106417E0,5.502407684E0,6.658154297E-1,-7.575746155E-1,5.594078996E0
2.683087417E0,5.403313751E0,7.183561707E-1,-4.107458496E-1,5.466310203E0
2.693068417E0,5.737718353E0,6.457571411E-1,-2.248324585E-1,5.778318425E0
2.703049417E0,6.362668762E0,4.947212219E-1,-1.850152588E-1,6.384554292E0
2.713030417E0,6.984475708E0,4.156855774E-1,-3.558100891E-1,7.005875836E0
2.723011417E0,7.991282043E0,8.743318176E-1,-6.941065979E-1,8.068880269E0
2.732993417E0,9.175768890E0,1.367406464E0,-1.154399414E0,9.348645526E0
2.742974417E0,9.962532806E0,1.343156891E0,-1.226549377E0,1.012721846E1
2.752955417E0,1.093176727E1,1.660047913E0,-1.844763794E0,1.120992633E1
2.762936417E0,1.230426315E1,1.970951385E0,-2.512525177E0,1.271189694E1
2.772917417E0,1.416130142E1,2.150727539E0,-3.211122437E0,1.467921640E1
2.782898417E0,1.556014252E1,2.481539612E0,-3.475323029E0,1.613548711E1
2.792879417E0,1.528456558E1,3.306923218E0,-2.593057709E0,1.585173916E1
2.802860417E0,1.391281815E1,4.138294373E0,-9.312135315E-1,1.454507297E1
2.812841417E0,1.337034622E1,4.143982544E0,1.312770081E-1,1.399842788E1
2.822823417E0,1.275991562E1,4.367767181E0,4.510121155E-1,1.349430431E1
2.832804417E0,1.349264191E1,3.550017700E0,-2.811154175E-1,1.395467797E1
2.842785417E0,1.436757248E1,1.758094025E0,-1.079255676E0,1.451491737E1
2.852766417E0,1.454121140E1,-6.346801758E-2,-1.402583313E0,1.460883626E1
2.862747417E0,1.402747971E1,-1.966460724E0,-9.731263733E-1,1.419803260E1
2.872728417E0,1.276560379E1,-3.098855896E0,-3.472778320E-2,1.313639045E1
2.882709417E0,1.176388687E1,-3.523971863E0,1.368753662E0,1.235641123E1
2.892690417E0,1.094793365E1,-3.967050476E0,3.414250031E0,1.213473708E1
2.902672417E0,1.068552933E1,-4.238286438E0,5.457800446E0,1.272521884E1
2.912653417E0,1.079495178E1,-3.818110199E0,9.159452820E0,1.466303261E1
2.922634417E0,1.050769913E1,-4.325854340E0,1.016012192E1,1.524312416E1
2.932615417E0,1.022703278E1,-5.127587128E0,8.158184967E0,1.405134624E1
2.942596417E0,9.999356232E0,-5.840554504E0,5.696254578E0,1.290529032E1
2.952577417E0,1.033765274E1,-6.489904175E0,3.634741516E0,1.273566905E1
2.962558417E0,1.141975250E1,-7.025939484E0,2.529589691E0,1.364453725E1
2.972539417E0,1.271276367E1,-6.766379242E0,2.629132690E0,1.463935063E1
2.982520417E0,1.260154495E1,-5.194947052E0,3.306623840E0,1.402569682E1
2.992502417E0,1.028107040E1,-3.020419006E0,3.399430847E0,1.124186238E1
3.002483417E0,8.871451721E0,-1.376986542E0,2.672841797E0,9.367114329E0
3.012464417E0,8.058641968E0,-5.233117676E-1,1.672771454E0,8.247043707E0
3.022445417E0,7.574698334E0,2.163002014E-1,9.684860229E-1,7.639424442E0
3.032426417E0,7.126679993E0,9.710307312E-1,5.619314575E-1,7.214446296E0
3.042407417E0,6.520141296E0,1.535506897E0,4.505630493E-2,6.698660614E0
3.052388417E0,5.826783142E0,1.832189941E0,-3.597019958E-1,6.118636065E0
3.062369417E0,5.334756317E0,2.295177155E0,-6.565347290E-1,5.844527439E0
3.072351417E0,4.731510773E0,2.594255219E0,-9.204359436E-1,5.473989099E0
3.082332417E0,4.243076477E0,2.586621094E0,-8.632548523E-1,5.043760067E0
3.092313417E0,4.370910645E0,2.599793701E0,-9.145980835E-1,5.167231058E0
3.102294417E0,4.211941223E0,2.122286682E0,-1.026415558E0,4.826808317E0
3.112275417E0,3.676953735E0,1.489103394E0,-8.448431396E-1,4.056005131E0
3.122256417E0,3.117417297E0,6.111790466E-1,-4.903802490E-1,3.214390023E0
3.132237417E0,3.215762787E0,1.001417542E-1,-5.269042969E-2,3.217753091E0
3.142218417E0,3.860472107E0,-4.626878357E-1,1.709445190E-1,3.891856491E0
3.152199417E0,4.617298279E0,-8.833131409E-1,2.014810181E-1,4.705345907E0
3.162181417E0,5.447920990E0,-9.425898743E-1,1.851649475E-1,5.531962115E0
3.172162417E0,6.437962189E0,-7.920030212E-1,1.046324158E-1,6.487339506E0
3.182143417E0,7.723189545E0,-4.565505981E-1,-8.592132568E-2,7.737149195E0
3.192124417E0,9.233548737E0,5.254074097E-2,-3.603007507E-1,9.240725049E0
3.202105417E0,1.078357544E1,7.295828247E-1,-6.483018494E-1,1.082765375E1
3.212086417E0,1.185250259E1,1.609602814E0,-9.791139221E-1,1.200130422E1
3.222067417E0,1.268222717E1,2.277214508E0,-1.440903625E0,1.296536907E1
3.232048417E0,1.430305664E1,2.284698944E0,-1.668131104E0,1.458012140E1
3.242029417E0,1.615814896E1,8.035290527E-1,-1.713486786E0,1.626860392E1
